classe,filename,url,status,http_code,sha256,size_bytes,notes
fondateurs-officiel,ipg-political-declaration-2022-12.html,https://www.gov.uk/government/publications/vietnams-just-energy-transition-partnership-political-declaration/political-declaration-on-establishing-the-just-energy-transition-partnership-with-viet-nam,fetched,200,a3a3d6cb192128ccd69e6d294849061a6615d9d32d735b675a6be44690a062aa,102456,"Déclaration politique fondatrice, texte intégral, gov.uk"
fondateurs-officiel,eu-political-declaration-2022-12.html,https://ec.europa.eu/commission/presscorner/detail/es/statement_22_7724,fetched,200,eb9656627352ff68528ec59954b8ffe009f207bb9917680835b7e25c32ba9340,19211,Communiqué EEAS doublon (version ES servie)
fondateurs-officiel,us-embassy-declaration-2022-12.html,https://vn.usembassy.gov/international-agreement-to-support-vietnams-ambitious-climate-and-energy-goals/,fetched,200,d014f2594eff1e130a09d7207ec3d64f24e790e0f95cab421d02d6a485956ccd,172270,Communiqué officiel US Embassy Vietnam
fondateurs-officiel,ipg-rmp-launch-joint-statement-2023-12.html,https://www.gov.uk/government/news/viet-nam-just-energy-transition-partnership-joint-statement,fetched,200,7d29a74efd099f347cd303e8ae811f60d27a115230253fc8486663acf47e8dbf,100385,Déclaration conjointe lancement RMP COP28
fondateurs-officiel,eu-rmp-launch-joint-statement-2023-12.html,https://ec.europa.eu/commission/presscorner/detail/en/statement_23_6243,fetched,200,9887b882c3968fda8c50b3cd98c70495b775795db846f2f74cbc20b7fd4f075e,19229,Doublon EEAS du communiqué RMP
fondateurs-officiel,baochinhphu-rmp-announcement-2023-12.html,https://en.baochinhphu.vn/viet-nam-announces-resource-mobilization-plan-to-implement-jetp-in-dubai-111231201204331317.htm,fetched,200,cffe2fd1dd0f9b2d1dd732d635934e362b1288eb8d684cc93d2280bd639d44df,73640,Annonce officielle gouvernementale VN du RMP; ne contient pas le texte intégral du RMP
fondateurs-officiel,moit-jetp-portal-2023-12.html,https://jetp.moit.gov.vn/,fetched,200,958fccb4f73ee5ab5a4a791ea065c3bf4200ec2bdb272fb20bf05801c4231be0,33136,Portail MOIT — page d'accueil seule capturée (SPA); texte intégral du RMP non localisé sans navigation interactive. Identique octet pour octet à moit-jetp-secretariat-portal.html (même URL listée deux fois dans la liste source).
fondateurs-officiel,moit-decision-458-2026-03.html,https://moit.gov.vn/chuyen-muc/chien-luoc-quy-hoach-ke-hoach-phat-trien/phe-duyet-de-an-cap-nhat-trien-khai-tuyen-bo-chinh-tri-thiet-lap-quan-he-doi-tac-chuyen-doi-nang-luong-cong-bang.html,fetched,200,e5b6669603e8c9367d2ee996c08a7b1f2ae896711d3a281e93f560c6a1094bbe,125306,"Décision 458/QĐ-TTg, 23 mars 2026"
fondateurs-officiel,nangluongvietnam-decision-458-analysis-2026-03.html,https://nangluongvietnam.vn/quyet-dinh-458qd-ttg-tu-cam-ket-chuyen-doi-xanh-den-yeu-cau-tu-chu-nang-luong-trong-ky-nguyen-bat-dinh-35795.html,fetched,200,e467d3ad2464369b771d4f903261b827f3e8d78ad1d12e34e309d90c2aab6f44,67117,Analyse revue sectorielle de la décision 458
fondateurs-officiel,moit-decision-1929-implementation-2026-07.html,https://moit.gov.vn/tin-tuc/chuyen-dich-nang-luong-cong-bang-giai-phap-chien-luoc-huong-toi-muc-tieu-net-zero.html,fetched,200,339c2bbfc2b8be0179c40cd7f0df484757b6f16b1f355300693e0d4719f68abc,114965,URL provisoire — page générale MOIT sur le sujet; non confirmé qu'elle cite explicitement le numéro 1929/QĐ-BCT (à vérifier lors de l'extraction)
fondateurs-officiel,eeas-jetp-progress-projects-2025-07.html,https://www.eeas.europa.eu/jetp-vn-jul2025_en?s=184,fetched,200,c6c5c4ea5da37216b4f5604997669cd55fa91fa59b75249c3afb6eeab177071c,60092,"Source clé — liste des projets validés juillet 2025 (24 projets / 7,04 Md$)"
fondateurs-officiel,vneconomy-24-projects-2025-07.html,https://vneconomy.vn/viet-nam-xac-dinh-24-de-xuat-du-an-phu-hop-muc-tieu-cua-jetp-voi-tong-dau-tu-hon-7-ty-usd.htm,fetched,200,eed8fc5c974a85e74749422ef6b0ffb64cfe728efe72820f40464cca176aada6,282118,Presse VN corroborant les 24 projets / 7 Md$
fondateurs-officiel,uk-eu-jetp-progress-statement-2025-05.html,https://www.gov.uk/government/news/statement-uk-and-eu-welcome-viet-nam-jetp-progress,fetched,200,e1f0247f0d5060a1065ed624b2f30fc1361ee430462195c0991fc297a3dcd468,75904,"Update projets, visite Macron, 547 M€"
fondateurs-officiel,eeas-jetp-progress-macron-2025-05.html,https://www.eeas.europa.eu/jetp-may2025-pr_en?s=184,fetched,200,6ac542e12367258e06af6f1fc02853767227d1c77719257e54292255ea66ea3d,64587,Doublon EEAS du communiqué du 29 mai 2025
fondateurs-officiel,bmz-flasbarth-us-withdrawal-2025-03.html,https://www.bmz.de/en/news/archive-press-releases/statement-flasbarth-withdrawal-us-jetps-248278,fetched,200,5bd3635107f8b021f612ab7c7de71d9de79ae44fb4c9c23a50c9bcb9bcfdcab2,69429,Déclaration BMZ du 6 mars 2025 (pas 19 mars comme dans le brief) sur le retrait US des JETP
fondateurs-officiel,moit-jetp-secretariat-portal.html,https://jetp.moit.gov.vn/,fetched,200,958fccb4f73ee5ab5a4a791ea065c3bf4200ec2bdb272fb20bf05801c4231be0,33136,"URL identique à moit-jetp-portal-2023-12.html (même entrée listée deux fois dans la liste source, priority 1 les deux fois) — fichier octet-pour-octet identique, conservé sous les deux noms comme demandé"
fondateurs-officiel,bmz-factsheet-jetp-objectives-2022-12.pdf,https://www.bmz.de/resource/blob/246478/factsheet-jetp-vietnam-en.pdf,fetched,200,645127a6b2e7aba0005b503b4ad5102a1e9a5a667c650d5fcf5c3b3de1ec8eba,371362,Factsheet PDF officiel BMZ
bailleurs-europe,eib-jetp-mou-500m-2025-03.html,https://www.eib.org/en/press/all/2025-136-viet-nam-eib-and-state-bank-of-vietnam-pave-the-way-for-green-finance-cooperation-to-support-just-energy-transition,fetched,200,4dd3b653c02a33b343bdac0b17527a716fe9a95ceb7cfa7c370b2527b1e7bc09,116333,Fetched successfully this session (contrasts with prior 403 noted for WebFetch tool).
bailleurs-europe,eib-bac-ai-430m-2025-10.html,https://www.eib.org/en/press/all/2025-377-eu-reinforces-support-for-vietnam-s-just-energy-transition-with-eur430-million-package,fetched,200,c5fe53a343fe6d4d44bb2ac01c02281436c65757139bcf2d98850123f6b57f8c,103448,Fetched successfully.
bailleurs-europe,eib-global-jetp-programme.html,https://www.eib.org/en/press/news/eib-global-supports-vietnams-just-energy-transition,fetched,200,66b2bec07969b895da320dd8c8e2ff6a19a5da166dc5d3cf12b69c155c30b6b8,100861,Fetched successfully.
bailleurs-europe,eib-techcombank-200m-2026.html,https://www.eib.org/en/press/all/2026-109-eib-global-and-techcombank-announce-eur200-million-credit-line-for-climate-investments-in-viet-nam,fetched,200,261c61168bd365a519f547f9acd3e1df3514454f825b3232e5e6be1048b0dbfb,113871,"Fetched successfully; private-sector intermediated credit line, adjacent to JETP public projects."
bailleurs-europe,evn-evnnpt-afd-67m-2025-05.html,https://en.evn.com.vn/d/en-US/news/EVNNPT-and-AFD-sign-67-million-financing-agreement-to-strengthen-Vietnams-power-transmission-network-60-12-500732,fetched,200,fa40cf580e9d92a49cd9f869d780f19753688b5115af9fcfbfb546dd806f96f0,71419,"Fetched successfully. No equivalent afd.fr project page located for this operation (documented gap, not re-searched this run since task is download-only)."
bailleurs-europe,vnplus-afd-bacai-76m-2025-12.html,https://en.vietnamplus.vn/afd-provides-76-million-eur-loan-for-vietnams-first-pumped-storage-hydropower-plant-post335040.vnp,fetched,200,fed2e11537543b69427c454328bebd95cca33f0c293078863aa11e77a161cd52,25894,Fetched successfully.
