evidence_id,claim,issuer,url,title_date,page_section,paraphrase,contrary_evidence,archive_path,sha256,limitations
catalogue,complete acquired response; not historical census,FCDO,https://fcdo.iati.cloud/search/activity/,GB-GOV-1 catalogue; acquired 2026-09-14,response.docs,"25282 distinct activity IDs, with separate hierarchy 1 and 2 units","no independent inclusion, cancellation or retention history",data/jetp/audit-evidence/0735-round3/us-uk/fcdo-catalogue.json,53a0af1bdee2ed8c0355f9e7bdf3bbcc3e4a8e8773433a6432d8e069df480830,limited fl projection; sector vocabulary and finance code omitted
GB-1-104836,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-1-104836,GB-1-104836; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-1-104836.json,13c4caa86e00b1540e33ae6c12c916abc3e78b2783d477540efb6dc3631a5078,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-1-107154,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-1-107154,GB-1-107154; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-1-107154.json,a3aa77ae9224631c327e0c56bed4ae59dffa1aba3281fa9a3b42774828647dd1,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-1-107859,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-1-107859,GB-1-107859; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-1-107859.json,cbc8c4865fe517019c6e782ad223b2a34231e81b39720ffb3cde788923787307,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-1-108984,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-1-108984,GB-1-108984; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-1-108984.json,d6722376dd796510b7d8f3142199a37f615471aaec6fb106b37de3067b05d821,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-1-109635,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-1-109635,GB-1-109635; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-1-109635.json,093fa97c2cbe815901356893a8a7ce4b5ffd19b8da1c0b5225027b327e7d4971,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-1-109636,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-1-109636,GB-1-109636; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-1-109636.json,90d44e387740cf8e0f9dba30f138dc3792c32f9d4841cb1cb313d2333b8ea860,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-1-110657,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-1-110657,GB-1-110657; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-1-110657.json,c821ae90bbfad8c88196a042e0ba8cc194fb127ca4231e739d41e309fe4bbf2c,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-1-112151,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-1-112151,GB-1-112151; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0735-round3/us-uk/fcdo-112151.json,db18eb53980d6a8c369de131cac41a1267ee10d3780a2eee635db6fd9a74d9d9,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-1-112151-101,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-1-112151-101,GB-1-112151-101; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0735-round3/us-uk/fcdo-112151-101.json,7e9ad9e29532983b9663c18a7d9a748b55a0f2920114a893976972d8ba87437e,source-reported dates; no legal financing identity or complete earlier payment coverage
